M_CH3OH,x_CH3OH,ET
0.5764828067751588,0.15865287918800686,0.14533977710762824
0.17267917040022013,0.9779254312409587,0.5176904951670144
0.22383640716733155,0.9922850247848956,0.17635643305706591
0.2561926155056647,0.98818127656077,0.21193679758052783
0.5829071137673315,0.9951298885195039,0.19395569486836015
0.7999391068407983,0.7635707921833184,0.28726755348115995
0.17643319245445926,0.9918741623619047,0.06126834090309277
0.4785293401750732,0.7401390704204209,0.16752554921878662
0.6063083365899463,0.9975938814095284,0.33722344118080505
0.5726212231451742,0.9168813985226081,0.3778484732967129
0.15269338976052235,0.9707927184426965,0.11198533639909064
0.38567483742920317,0.9895524901642683,0.8449660852445801
0.6055472024894291,0.9974826553866556,0.18641027691157272
0.5955772985883391,0.9944951737849437,0.31176729345704146
0.435000363166956,0.9968519949481947,0.2496915469446089
0.03389836844862641,0.9843338176279934,0.04308327564953396
0.5774039347246622,0.9962805206501295,0.5497180452678646
0.14206922263017796,0.9756281007094165,0.14385067259182321
0.622326967907403,0.6917823809628139,0.135270163503833
0.6703793711435421,0.7081220287402055,0.31358385977379544
0.13017744933739125,0.986246321918608,0.26296319513931965
0.42405361512935147,0.9935654582880631,0.2931743695172663
0.4621086570471722,0.5930299367959118,0.22505285797424865
0.13891983247347203,0.9750361492622261,0.5699314195565612
0.10878870429778847,0.9967862132179273,0.07451774452077212
0.3024818078122361,0.9968954902109914,0.40108522881782316
0.44401837427010626,0.9969547006918644,0.16909280118705253
0.41660909479282715,0.9964097155722318,0.31553700260130124
0.7214055507308049,0.543597264338288,0.5457890339533631
0.16868062345202742,0.9918152809923118,0.12381180074738976
0.10647750992787605,0.9946126808806286,0.06173620595890003
0.4637782797137742,0.998004784345172,0.22338912899491717
0.7741389420245828,0.40557888461114966,0.4880952187402171
0.4221644303916152,0.5663753299909569,0.07668846036927746
0.16366898836952276,0.9861032136060983,0.04439809776533335
0.4406633995499625,0.9969974805848023,0.17981662300241139
0.425197196392862,0.5073941356080989,0.287142669087191
0.7260917393096115,0.9953763378339626,0.6465948274833502
0.25108430068500187,0.9874195732169262,0.5091082079322723
0.256243270026569,0.9937873324418252,0.2565885417499063
0.6349735379707897,0.9957288753826774,0.3682012033730645
0.6585606177454775,0.4782443154804288,0.2609080808358891
0.1833578597847741,0.984407705382534,0.1485567929345687
0.7590057876964295,0.9964582114227902,0.371939798310292
0.6815975556365762,0.39810114214379033,0.20516953555627923
0.5171350402942844,0.9941212489064493,0.435107966208491
0.25867385090586775,0.9849418712933449,0.5075297838159032
0.46911557561851536,0.9907522973452794,0.45461047846008984
0.32464699572583317,0.9935156632805608,0.1866566410614479
0.5622814731560007,0.9952580150553667,0.4905243468263425
0.5435293157311802,0.8061664229977856,0.15555971921052283
0.6397422858163062,0.7393483587963365,0.40416873351143734
0.2455639472694513,0.9757844650826561,0.17290098523730726
0.3971746346054103,0.9941833322104381,0.11558569404054583
0.2707234141651536,0.990819496511975,0.11952348347833974
0.3548452183611869,0.9954796936746233,0.20036463907695276
0.2828201667256215,0.9987345894169402,0.1608455100200197
0.2851560526683459,0.9940149454491081,0.08657762014643641
0.2965366713760163,0.9959300643346214,0.463191998493797
0.4698933953204759,0.5880213308129514,0.35042997849143565
0.08422581420496107,0.9625540160705477,0.08119955448617627
0.35485329046040337,0.37553953677863006,0.13580484910682816
0.22645256358841565,0.36066774761093456,0.11065552628090758
0.6251655034676818,0.9492545061240605,0.42048163987969445
0.2196793067750457,0.9923750217730285,0.2858595621926435
0.7307095693962526,0.631349310149772,0.5087222608606219
0.35664552239571373,0.46890323183994886,0.33790848168309406
0.13691050463917082,0.9733194857694623,0.08699523805880124
0.5498691303786681,0.7071310469865828,0.29168800001374895
0.23616710939885632,0.3821040444943218,0.11364813413837158
0.6225723953792979,0.9975540774005147,0.3723932511414729
0.520103376698097,0.4550389274742723,0.14168865323965374
0.6454604622813186,0.5748334690026298,0.184060522106859
0.034561515368114026,0.9119397459266325,0.2695159189034998
0.4483877221466906,0.33392339390382353,0.36999068459806217
0.4970604899351856,0.758676429698631,0.12083020597197283
0.22468771916692842,0.9824870666609844,0.07059187958320673
0.5601393322836559,0.9948499062641558,0.6718250617796211
0.37795750852946075,0.9874760594731649,0.37114259102365443
0.40639111473084893,0.9980999738085881,0.13513966247228992
0.6273087706751841,0.9352203624569679,0.4747228659648518
0.257892444914561,0.9989072294158248,0.1493393370955136
0.3242142977533989,0.9958237347147543,0.6572761784430409
0.18805215716961807,0.997057969290976,0.21465288179203237
0.8546736410190907,0.6018091784060793,0.49090492519500295
0.6011454437642878,0.9963000767012831,0.3310979194842105
0.27540966187458465,0.08489207642053054,0.19668297548348304
0.402034302274969,0.5345725518513869,0.31194124618800123
0.7634477101510686,0.7932540326472288,0.3436163838914764
0.364908476048503,0.9974526383113453,0.14224021449214377
0.5973693029848963,0.993368559920224,0.18850420073762772
0.24108485743397912,0.19551892664819825,0.3076423459941511
0.6978270329430467,0.42605013644673506,0.264836579432592
0.6574884158434059,0.2918742241116321,0.480796484038326
0.38664607234443804,0.990604044917345,0.3480534112415463
0.4774260661214773,0.7859573529759791,0.6329149377069557
0.028245388579966717,0.9577137216756759,0.06657139200895115
0.16443933349030082,0.9799662961892894,0.16893623044490372
0.1468645825302868,0.9996867742211875,0.04738831538171426
0.15032451374753644,0.9775322584205137,0.13308005852800722
0.6279828104295615,0.8457527265502154,0.33637498059567883
0.6018684910905295,0.5976598139669951,0.1881169598987402
0.7119646721250541,0.9965260169642172,0.36696079539447546
0.261105095338282,0.9824719541889999,0.22812479522713128
0.12083436402441461,0.9768869707076708,0.1843622955341491
0.9460422562415362,0.32402254454669843,0.40656063931842557
0.5783527709033949,0.8772169142189628,0.17982732122978215
0.20353391417455854,0.9975713381567861,0.14430439111508922
0.3207850388359502,0.9948969937398877,0.14734466410570687
0.305141706980244,0.9872973161168181,0.07499051987474331
0.7600479035163688,0.39663052127217147,0.3787720745669858
0.5002814781232393,0.9963181645827224,0.21246351141193667
0.11967553692101143,0.9850750281398242,0.4135295255570244
0.26859815127550063,0.9964342149138383,0.3955586864388384
0.9148503363560724,0.9972028856434705,0.4685433865647908
0.641273569288963,0.9966657596198909,0.6503604630626338
0.3036180313814182,0.9897102736050287,0.32128388208997005
0.9139516892066142,0.4580690300416117,0.16627494208185842
0.126197262252578,0.9813054076098149,0.16517010822431202
0.48367520508581185,0.9944953024402758,0.24288363602237448
0.18047481186361963,0.9779334247248392,0.17633340084734214
0.561300900570894,0.6838427441431831,0.18234079407893092
0.7919312574203818,0.9960748671573161,0.7639119203214355
0.18371060255025826,0.9969155093027358,0.1168946917507998
0.14241063350133853,0.9839234590662091,0.18872274615257154
0.4752840173534504,0.33961408390394676,0.11891877984005245
0.03326764817622445,0.9538957666476688,0.1437222998232644
0.46380618931872847,0.8604338698353724,0.1078226934987857
0.6661917841025947,0.869013634745879,0.26649481352404847
0.16175249737726602,0.9814891465457729,0.14693429920695922
0.10095932279830425,0.968313228078775,0.04373539343171409
0.1529623270894182,0.9769002677666323,0.07835037236011477
0.06312209789412102,0.9658701515802395,0.050133696738254796
0.08628471302659949,0.9975128248675686,0.12794408500034782
0.7053783624783064,0.8675602643439639,0.1960409120853698
0.442841487013276,0.26750865495229603,0.39979138517980906
0.4432011653006428,0.35357420284749463,0.3504743234746086
0.40436018554485426,0.4179964313844924,0.13536544584299598
0.07459921697921533,0.9853423947991302,0.11323242537285297
0.3305951992976466,0.9919298367158611,0.16864541836796929
0.13491284035097958,0.9770701180450125,0.1478399231704989
0.18300394791236868,0.9816368820350483,0.5306590427777818
0.6207203164019766,0.770316166440028,0.44359271862770455
0.1506965701909303,0.9945718312570089,0.2315349037344269
0.37757223928180284,0.8296072226734561,0.3663433175776083
0.4488746898545427,0.6124786474579083,0.23829712251801896
0.6276428904414423,0.9971354899497336,0.4184326993692279
0.1301660168002681,0.995742507823804,0.19487874702001282
0.34102126785543196,0.9965315119792637,0.3123876662389816
0.5219950515825803,0.9930935645444914,0.6169892367248455
0.7290529256679629,0.9964979089725301,0.6931879823002834
0.45053600549383704,0.9060819884194531,0.17863372302087718
0.1732257512088831,0.9905402597849491,0.10123631791329954
0.612199814127859,0.9946357157767254,0.34978875504871076
0.3764653095283606,0.9881662232566006,0.21189240112515337
0.6126266185720538,0.993611125834106,0.3996238125972563
0.1897749596503597,0.9875017517057463,0.1714104603424693
0.6760225740701037,0.8809547846017238,0.41428600535096516
0.670003523411094,0.48038698145275727,0.5562400794047808
0.9115113223684339,0.8334281608186449,0.6381291411997078
0.79385758910933,0.7765577002734145,0.5221617140639093
0.5573969768303694,0.9975319127285094,0.4636765514664264
0.7337956900892595,0.36565104819842253,0.26168854170748923
0.36822274980838116,0.9937830447596421,0.4183736633391425
0.7386636480167874,0.9967164220855482,0.3328652386001635
0.26049140572601964,0.9911884920060394,0.33479800703541474
0.1771382724347249,0.9796345082990501,0.3256862876308081
0.8618258933151325,0.6367575659588505,0.43376783811493425
0.33115049378174705,0.9984586188079858,0.17840550563640709
0.10772606389299816,0.9642465388833059,0.15583761942052435
0.15759653329787404,0.988908448900675,0.41942507084747094
