P1,T1,T2,RRC1,BRC1,RRC2,BRC2,RFF
0.8301248132229813,0.8515958459670521,0.07256589098189004,0.04971756013011053,0.9385386125746571,0.10116373585923724,0.9769233274688421,0.7783649331748601
0.4226479938606489,0.4888509971245272,0.7300880191229968,0.9080086918881273,0.8708786747410459,0.9002374636203986,0.019664204082399453,0.45224357679140237
0.2339197858318307,0.2590424365107351,0.0593707454829584,0.9413559610237815,0.40488163173822506,0.39432014339643184,0.6004668330742297,0.6180083529602106
0.22316647486998797,0.7862144299539615,0.837404307024558,0.7740355847128743,0.2693393347679411,0.333835947211808,0.2568304833550273,0.42165717690548105
0.09655401685967457,0.4599698557390206,0.42039526027182816,0.204982584964527,0.1563879341214534,0.3252490387231185,0.2996919195978122,0.22318118372820855
0.4194746202568733,0.7787825577678027,0.2698863418957007,0.4516341083466716,0.6020916259955222,0.008361679397555027,0.8374529929487399,0.23012991567429136
0.2045188869118888,0.2607968332817516,0.521023705740129,0.6692639655112198,0.1832969715643071,0.2952071795210827,0.619837198554317,0.8692684617285277
0.08591926044803788,0.43578518978213054,0.08048135462015615,0.5116493305839124,0.7669633130813764,0.11099288150892558,0.8831043273139554,0.9758129032023847
0.9006971628049258,0.5481634935788797,0.694189950627436,0.6307871361131887,0.7345444978274706,0.490150147102993,0.9218629189228508,0.8361856865441594
0.9924773721173785,0.7661843893493852,0.7734653671944081,0.47215036708535585,0.8458103899861082,0.6513357724941455,0.7424699984998144,0.9633643113433853
0.4902478692749479,0.3465035232527067,0.05491823361091264,0.5810716359320472,0.018446608608682726,0.08009939096443672,0.010054046490192328,0.14914810405746212
0.9863702918005677,0.1775931840810756,0.6750351568629274,0.2848051370052592,0.6553918769154099,0.916433287141574,0.0018699706242391173,0.011621327750525108
0.5054961939820695,0.7168325237644972,0.23148051265673963,0.2899415969574983,0.30015699476963786,0.29696030615651026,0.5683145453578858,0.601269849318976
0.19761225287313566,0.6804523333888604,0.9752908618939777,0.8226681566084989,0.4068206300285365,0.07726515165862913,0.5048513363479802,0.1388057850443447
0.14975165245736077,0.5193963209473993,0.8799372173642421,0.5598568073068807,0.5626809944012932,0.6248863833448863,0.873776463987902,0.953968898263584
0.8086462460215196,0.12629942919579085,0.1950450666397181,0.8063956965660296,0.22618032569976856,0.6367974992419134,0.18515273690456646,0.9283722875680475
0.13283409350691833,0.36494982713789437,0.45154634792839055,0.8373442819214199,0.9870524957156891,0.5381866788074766,0.4993488268609658,0.29287793841913967
0.1385513648507648,0.7898223021781572,0.13016165707602845,0.8238886627380717,0.11138524052501728,0.3187179426599594,0.1889246115669038,0.35551517631251695
0.9986910974968195,0.5106060157893029,0.9764669324304389,0.14755388153333335,0.3536361023694164,0.17929847593479253,0.4871472880698863,0.7735105963027867
0.6113253263381158,0.6021978864799991,0.9655860298427257,0.24549820146693155,0.7145392513093124,0.38788069150730287,0.42562312269346275,0.6148648724010635
0.8176674080366755,0.24386717524642343,0.8054104032293523,0.6626031733950294,0.6044147030186432,0.902134231186133,0.08612277139909613,0.5886443415686711
0.753936798655972,0.6314040478790113,0.42822456039779233,0.5736956825089163,0.6524168102398187,0.2435866842153167,0.02834954661540312,0.6254676316541256
0.027335464728651226,0.8257703738390259,0.32046406698771257,0.5156782452938782,0.8551089206904015,0.041258072041630844,0.7363519282284247,0.6578124823792312
