T1,RRC1,BRC1,RRC2,BRC2,RFF,ET,M_CH3OH,x_CH3OH
270.09316392209087,2.0960940720485084,0.5731236009700605,2.0478281047774165,1.464042488180528,0.24711905649141053,6679.488945745131,4567.628339245303,0.9944058231853781
247.7708387683483,2.708406720429615,0.542869680480264,1.4000705753337919,9.406823531684465,0.10925570824185844,8139.834726675683,7295.2938718527275,0.9808246263592456
259.023272329643,2.588025649458668,0.8231076247421587,1.389103020559196,2.482431185352447,0.11004060383896865,12855.832854757764,7364.871641182607,0.9956569854330521
257.5313830375393,2.567337700688795,0.6778823216596364,1.4093027946408903,2.8141731318403114,0.0761518621687155,12948.030467762299,7900.569733077182,0.9938895329932241
268.57450398051026,1.407951295473705,0.5269771563459026,1.3498135105073712,1.4356583870306798,0.09358817658389176,14548.978065609921,8613.509961510808,0.9925683341873522
259.5722276790441,2.0160300831451785,0.7311033238694323,2.0045582989075035,2.6399273752454566,0.04731073208055619,16770.277448624438,9031.661721923001,1.0017987201270138
253.49533873886492,2.3816019385582505,1.1225925404287171,1.7432962069851343,3.171403653552594,0.048725088765328724,17906.760159275764,9180.409926248456,0.9910630102747588
266.8189751635812,2.9884571476132895,1.2676853968148332,1.253471966364918,3.223829331833106,0.03294031723972346,18384.180001487075,9386.782961693547,1.0075996528774562
257.8641743987419,2.956253973475795,2.7520923999120797,1.4714376673749563,2.4356708003062977,0.08562658617480944,21460.05324348929,9576.770447768147,0.9919652086268012
263.63798190329345,2.284994274859511,1.482578675531908,2.8162601929833224,4.608455981908043,0.03452688458705276,25431.207470022717,10144.725695089446,0.9846896264069837
249.9096999401012,1.6338543653782462,1.329786598594932,2.4885715558375194,3.073905674488222,0.010016462816475098,26823.818446588986,10853.789409403093,0.9848542554183133
286.8690332471681,1.7910585258697818,1.9079472753784934,1.7371623865063777,2.0884345158042352,0.012752568562892868,27741.204313602044,10995.938663716433,0.9984120613720315
277.38420078049506,2.332171619852234,1.6766863943599908,2.5586023567521283,5.7753006937379725,0.014038974611605378,32212.818553008015,11082.351457468401,0.9850071490016281
252.7287927678652,2.866269026427629,2.983586974113275,2.6722246616525185,3.789058489818845,0.02939678701987935,33931.616270290804,11195.626823694653,0.9855396773781214
267.9288022013716,1.7250063180886464,2.8473118082671864,4.189663496623674,2.760340403065999,0.0105990287893781,39616.53649559757,12034.506506706975,0.9819919179044228
263.8223024336073,5.634215209439004,5.25374996966224,2.7076658450756557,8.290723444301824,0.010784793175597997,47510.18536683756,12255.991256816855,0.991191658426564
264.71183210180027,6.527120128301652,6.684797798926197,2.4320704824111323,8.487362112539515,0.016244081650208745,51543.869917610136,12466.055819925612,0.9829799457545796
252.6308439025853,4.256074468396312,5.305373187696627,4.359624110735075,6.9621365938154565,0.013450897274068521,55084.207917913605,12513.812368355848,0.9801186589976087
256.4078641625588,7.352409325113332,8.559033292401525,2.761077924677797,7.412755472635857,0.01575459526671185,63845.08989286902,12835.71054358502,0.9839816337102412
274.8396182984476,5.720042103808096,9.048090372018166,6.87305155933701,8.26260187041402,0.013477614234473537,84229.53798092368,12880.859630554081,0.980761117125627
