"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","C","S_6","activation","arquitetura","background_k","batch_size","descartadas","early_stopping","epochs","epsilon","eval_split","explainer","inputs_selecionados","k","kernel","learning_rate","loss","max_depth","metodo_selecao","min_samples_split","n_estimators","n_eval","n_layers","n_neurons","optimizer","output","random_state","P1_contrib_max","T2_contrib_max","ann_runtime_max_s","checklist_passou","n_anomalias_heatmap","runtime_seconds","shap_mean_BRC1","shap_mean_BRC2","shap_mean_P1","shap_mean_RFF","shap_mean_RRC1","shap_mean_RRC2","shap_mean_T1","shap_mean_T2","test_mae","test_mse","test_r2","train_mae","train_mse","train_r2","val_mae","val_mse","val_r2","delta_r2_medio","output","model","ic_sup","ic_inf","equivalente_a_baseline","fase","k","diag.cobertura","phase","diag.D-E3-05","diag.D-E3-02"
"2026-05-17 13:49:01","15ms","cdd3b9a08c5149d18a7444e099706266","XGBoost_x_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","XGBoost","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","0.1","","5","shap_global_topk","","300","","","","","x_CH3OH","42","","","","","","","","","","","","","","","0.010582360440169997","0.00037515496558763025","0.9353723059854303","0.0013231202983521016","0.0000038410053959709","0.9993834323850167","0.010095635888782657","0.000304602462774953","0.9491127317546644","0.010102","x_CH3OH","XGBoost","0.029591","'-0.001888","False","retreino","6","","","",""
"2026-05-17 13:48:59","14ms","8e7b33658a7c4d938ea61bb41c16715c","XGBoost_M_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","XGBoost","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","0.1","","3","shap_global_topk","","300","","","","","M_CH3OH","42","","","","","","","","","","","","","","","474.2386617542869","373909.56324719667","0.9505440869974058","270.0677300240904","122135.4027891128","0.9850255970049292","482.6192095031995","409355.40711424523","0.9494417668296644","0.009938","M_CH3OH","XGBoost","0.017457","0.003268","True","retreino","6","","","",""
"2026-05-17 13:48:57","20ms","cd44c75772af4454af8bc29212ae3438","RF_ET_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","RF","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","","","None","shap_global_topk","","200","","","","","ET","42","","","","","","","","","","","","","","","3034.478610406894","24234785.08353026","0.9301230015522635","987.0516195141412","2182271.3959416845","0.992245178116042","2482.504976522768","12416142.049397724","0.9495022523564745","'-0.005959","ET","RF","'-0.001822","'-0.010140","True","retreino","6","","","",""
"2026-05-17 13:48:55","19ms","36cf63da4b874b50b5206dbcd9887aec","RF_x_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","RF","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","","","None","shap_global_topk","","200","","","","","x_CH3OH","42","","","","","","","","","","","","","","","0.01232697242126155","0.0005260245376116823","0.9093821061180051","0.004093376391523406","0.000059484242873919356","0.9904514433131674","0.010789265883327267","0.0003856441692127993","0.9355738029587757","'-0.008273","x_CH3OH","RF","'-0.004115","'-0.013337","True","retreino","6","","","",""
"2026-05-17 13:48:52","17ms","0710315c190d483493e98e787264a674","RF_M_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","RF","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","","","None","shap_global_topk","","100","","","","","M_CH3OH","42","","","","","","","","","","","","","","","556.420791077003","647784.4946735603","0.9143194591366333","237.6420384030687","102119.64308695433","0.9874796279016885","642.457705799399","740083.0437573527","0.9085946088865189","'-0.000073","M_CH3OH","RF","0.005474","'-0.005127","True","retreino","6","","","",""
"2026-05-17 13:48:51","14ms","daba5d0822b7430b8ac11191a4aa9042","DT_ET_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","DT","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","","","10","shap_global_topk","5","","","","","","ET","42","","","","","","","","","","","","","","","4373.138763297927","36980741.251989566","0.893372142969093","1377.124897204202","3990873.7268108316","0.9858182098842794","4022.0776308442737","34960229.25712191","0.8578130930234018","'-0.010056","ET","DT","0.003881","'-0.027303","True","retreino","6","","","",""
"2026-05-17 13:48:50","15ms","fb0813e9fc8c4baf913b133925f00229","DT_x_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","DT","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","","","10","shap_global_topk","10","","","","","","x_CH3OH","42","","","","","","","","","","","","","","","0.018560194746086573","0.0011940518611254303","0.7943014876599936","0.006868090954072735","0.00019891353419959442","0.9680699112013778","0.016516022713550287","0.0010409837683935722","0.8260919502137396","'-0.003816","x_CH3OH","DT","0.005654","'-0.015902","True","retreino","6","","","",""
"2026-05-17 13:48:50","13ms","f2cb86b73f0a4eaa9b1e08f135620690","DT_M_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","","","","DT","","","","","","","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","","","","None","shap_global_topk","10","","","","","","M_CH3OH","42","","","","","","","","","","","","","","","892.0195972697429","1565173.438543968","0.7929791344774275","390.0729620077673","308320.12542766647","0.9621984313785208","997.1469325724419","1795688.1056320462","0.7782200592249516","'-0.019547","M_CH3OH","DT","0.006379","'-0.049912","True","retreino","6","","","",""
"2026-05-17 13:48:50","15ms","cac6939300104b93af9f609c61a9c7bc","SVR_ET_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","10","","","SVR","","","","","","0.001","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","rbf","","","","shap_global_topk","","","","","","","ET","42","","","","","","","","","","","","","","","1352.9702683974886","9731152.422619117","0.9719418298785676","318.29318511555226","760856.4908110341","0.9972962544546634","1096.3285655528937","3167019.030896365","0.9871194025351695","'-0.001655","ET","SVR","0.005811","'-0.010566","True","retreino","6","","","",""
"2026-05-17 13:48:39","14ms","bbca07ed60494e699b5e63ed544168a0","SVR_x_CH3OH_k6","NOTEBOOK","3.3_reduzido_sklearn.ipynb","lorenzoferreira","FINISHED","10","","","SVR","","","","","","0.01","","","['T1', 'RRC1', 'BRC1', 'RRC2', 'BRC2', 'RFF']","6","rbf","","","","shap_global_topk","","","","","","","x_CH3OH","42","","","","","","","","","","","","","","","0.008996264838023122","0.00018334002665102537","0.9684161367170873","0.0040982865954682065","0.000031426176558878846","0.9949553929944289","0.009008136992837196","0.00017353574804344882","0.971008900977382","'-0.016121","x_CH3OH","SVR","'-0.001131","'-0.031647","True","retreino","6","","","",""
