cenario,P_E,alpha,idx_pareto,lucro_USD_hr,T1,RRC1,BRC1,RRC2,BRC2,RFF,ET,M_CH3OH,x_CH3OH
baixo,0.05,0.125,15,3011.3,286.8690332471681,1.7910585258697818,1.9079472753784936,1.7371623865063777,2.0884345158042352,0.0127525685628928,27741.204313602044,10995.938663716432,0.9984120613720316
medio,0.1,0.25,8,1990.5,268.57450398051026,1.407951295473705,0.5269771563459026,1.3498135105073712,1.4356583870306798,0.0935881765838917,14548.97806560992,8613.509961510808,0.9925683341873522
alto,0.15,0.375,8,1263.1,268.57450398051026,1.407951295473705,0.5269771563459026,1.3498135105073712,1.4356583870306798,0.0935881765838917,14548.97806560992,8613.509961510808,0.9925683341873522
